molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL414450,CCCCCCCC/C=C\CCCCOC(=O)CC(=O)CBr,600.0,active
CHEMBL157232,CCCCCC[C@H](C)OC(=O)CC(=O)CBr,4000.0,intermediate
CHEMBL156529,CCCCCC[C@@H](C)OC(=O)CC(=O)CCC,100000.0,inactive
CHEMBL157781,CCCCCC[C@H](C)OC(=O)CC(C)=O,100000.0,inactive
CHEMBL155928,CCCCCCCOC(=O)CC(=O)CBr,1500.0,intermediate
CHEMBL157736,CCCCCCCC/C=C\CCCCCCCC(=O)CBr,1000.0,active
CHEMBL422064,CCCCCCCC/C=C\CCCCCCCC(=O)C(F)(F)F,600.0,active
CHEMBL421995,CCCCCC[C@@H](C)OC(=O)CC(O)CBr,100000.0,inactive
CHEMBL157196,CCCCCCCCC(=O)CC(C)=O,100000.0,inactive
CHEMBL352250,CCCCCC[C@@H](C)OC(=O)CC(=O)CC,100000.0,inactive
CHEMBL347894,CCCCCC[C@@H](C)OC(=O)CC(=O)CBr,2600.0,intermediate
CHEMBL345382,CCCCCC[C@@H](C)OC(=O)CC(=O)CCl,2900.0,intermediate
CHEMBL39412,CCCCCCCC/C=C\CCCCCCCC(=O)c1ncco1,2000.0,intermediate
CHEMBL426230,CCCCCCCC/C=C\CCCCCCCC(=O)c1ncc(-c2ccccn2)o1,150.0,active
CHEMBL93675,CCCCCCCC(=O)C(F)(F)F,30000.0,inactive
CHEMBL90258,CCCCCCCCCC(=O)C(F)(F)F,10000.0,inactive
CHEMBL90308,CCCCCCCCCCCC(=O)C(F)(F)F,10000.0,inactive
CHEMBL89946,CCCCCCCCCCCCCCCCCC(=O)C(F)(F)F,6400.0,intermediate
CHEMBL293277,O=C(c1ccccc1)C(F)(F)F,100000.0,inactive
CHEMBL292454,O=C(Cc1ccccc1)C(F)(F)F,100000.0,inactive
CHEMBL413727,O=C(CCCCCc1ccccc1)C(F)(F)F,5000.0,intermediate
CHEMBL91416,O=C(CCCCCCc1ccccc1)C(F)(F)F,5000.0,intermediate
CHEMBL91417,O=C(CCCCCCCc1ccccc1)C(F)(F)F,2000.0,intermediate
CHEMBL285678,CCCCCCCC/C=C\CCCCCCCC(=O)c1nc2ccccc2o1,10000.0,inactive
CHEMBL35925,CCCCCCCC/C=C\CCCCCCCC(=O)c1nc2ncccc2o1,40.0,active
CHEMBL366907,O=C(CCCCCc1ccccc1)c1nc2ccccc2o1,10000.0,inactive
CHEMBL175854,O=C(CCCCCc1ccccc1)c1nc2ncccc2o1,1.0,active
CHEMBL367966,O=C(CCCCCCc1ccccc1)c1nc2ncccc2o1,0.3,active
CHEMBL175580,CCCCCCCCC#CCCCCCCCC(=O)c1nc2ncccc2o1,2.0,active
CHEMBL177577,O=C(CCCCCCc1ccccc1)c1ncc(-c2ccccn2)o1,2.0,active
CHEMBL174397,CCCCCCCCC#CCCCCCCCC(=O)c1ncc(-c2ccccn2)o1,20.0,active
CHEMBL329187,CCCCCCCC/C=C/CCCCCCCC(=O)C(F)(F)F,5000.0,intermediate
CHEMBL426410,CCCCCCCC/C=C\CCCCCCCC(=O)c1ncc(-c2ccccc2)o1,5000.0,intermediate
CHEMBL366959,O=C(CCCCCc1ccccc1)c1ncc(-c2ccccn2)o1,100.0,active
CHEMBL179760,O=C(CCCCCCCc1ccccc1)c1nc2ncccc2o1,0.3,active
CHEMBL177708,O=C(CCCCCCCc1ccccc1)c1ncc(-c2ccccn2)o1,8.0,active
CHEMBL182199,O=C(CCCCCCCCc1ccccc1)c1nc2ncccc2o1,0.1,active
CHEMBL177216,O=C(CCCCCCCCc1ccccc1)c1ncc(-c2ccccn2)o1,30.0,active
CHEMBL362705,CCCCCCCC/C=C\CCCCCCCC(=O)c1nnc(-c2ccccc2)o1,200.0,active
CHEMBL178563,CCCCCCCC/C=C\CCCCCCCC(=O)c1nnc(-c2ccccn2)o1,4.0,active
CHEMBL178398,O=C(CCCCCCc1ccccc1)c1nnc(-c2ccccn2)o1,1.0,active
CHEMBL361170,O=C(CCCCCCc1ccccc1)c1nnc(-c2cccnc2)o1,20.0,active
CHEMBL180625,O=C(CCCCCCc1ccccc1)c1nnc(-c2ccncc2)o1,20.0,active
CHEMBL424976,O=C(CCCCCc1ccccc1)c1nnc(-c2ccccn2)o1,4.0,active
CHEMBL182206,O=C(CCCCCCCc1ccccc1)c1nnc(-c2ccccn2)o1,0.6,active
CHEMBL361529,O=C(CCCCCCCCc1ccccc1)c1nnc(-c2ccccn2)o1,0.8,active
CHEMBL15927,CCCCCCCC/C=C\CCCCCCCC(N)=O,68000.0,inactive
CHEMBL190503,O=S(=O)(F)Cc1ccccc1,13000.0,inactive
CHEMBL113262,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCP(=O)(F)OC,3.0,active
CHEMBL371633,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)C=[N+]=[N-],6.0,active
CHEMBL97038,CCCCCCCCCCCCS(=O)(=O)F,3.0,active
CHEMBL191481,CCCCCCCCCCCCCCCCCCS(=O)(=O)F,4.0,active
CHEMBL113263,CCCCCCCCCCCCP(=O)(F)OC,3.0,active
CHEMBL112486,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCS(=O)(=O)F,0.1,active
CHEMBL6206,O=C1O/C(=C/Br)CCC1c1cccc2ccccc12,800.0,active
CHEMBL281211,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)C(F)(F)F,3000.0,intermediate
CHEMBL32827,CCCCCCCCCCCCCCCC(=O)NC(C)C,13.0,active
CHEMBL286321,CCCCCCCCCCCCCCCC(=O)NCC(=O)OC,10000.0,inactive
CHEMBL34112,CCCCCCCCCCCCCCCNC(=O)COC(C)=O,8000.0,intermediate
CHEMBL191534,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCc1c[nH]c2ccc(O)cc12,12000.0,inactive
CHEMBL422637,CCCCC/C=C\C/C=C\CC/C=C\CCCC(=O)NCCc1ccc(O)c(O)c1,19000.0,inactive
CHEMBL161343,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O,7000.0,intermediate
CHEMBL526,CC(C)c1cccc(C(C)C)c1O,52000.0,inactive
CHEMBL189920,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(C)C(=O)OCC(O)CO,11000.0,inactive
CHEMBL189221,CC(C)(/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC(O)CO)CCCCC#N,11000.0,inactive
CHEMBL192968,CC(C)(/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC(O)CO)CCCCO,11000.0,inactive
