action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,222841,[],CHEMBL683427,Inhibitory concentration against Fatty-acid amide hydrolase (FAAH) at pH 9.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCCC/C=C\CCCCOC(=O)CC(=O)CBr,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,"{'bei': '16.58', 'le': '0.39', 'lle': '0.86', 'sei': '14.35'}",CHEMBL414450,,CHEMBL414450,6.22,0,http://www.openphacts.org/units/Nanomolar,306911,=,1,1,=,,IC50,nM,,600.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,0.6
,,222843,[],CHEMBL683428,Concentration required to inhibit fatty acid amide hydrolase (FAAH) at pH 7.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCCC/C=C\CCCCOC(=O)CC(=O)CBr,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,"{'bei': '14.92', 'le': '0.35', 'lle': '0.24', 'sei': '12.92'}",CHEMBL414450,,CHEMBL414450,5.60,0,http://www.openphacts.org/units/Nanomolar,306911,=,1,1,=,,IC50,nM,,2500.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,2.5
,,226765,[],CHEMBL683427,Inhibitory concentration against Fatty-acid amide hydrolase (FAAH) at pH 9.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCC[C@H](C)OC(=O)CC(=O)CBr,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,"{'bei': '18.41', 'le': '0.46', 'lle': '2.16', 'sei': '12.45'}",CHEMBL157232,,CHEMBL157232,5.40,0,http://www.openphacts.org/units/Nanomolar,306914,=,1,1,=,,IC50,nM,,4000.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,4.0
,,233194,[],CHEMBL683427,Inhibitory concentration against Fatty-acid amide hydrolase (FAAH) at pH 9.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCC[C@@H](C)OC(=O)CC(=O)CCC,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,,CHEMBL156529,,CHEMBL156529,,0,http://www.openphacts.org/units/Nanomolar,306918,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,100.0
,,236963,[],CHEMBL683427,Inhibitory concentration against Fatty-acid amide hydrolase (FAAH) at pH 9.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCC[C@H](C)OC(=O)CC(C)=O,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,,CHEMBL157781,,CHEMBL157781,,0,http://www.openphacts.org/units/Nanomolar,306920,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,100.0
,,245068,[],CHEMBL683427,Inhibitory concentration against Fatty-acid amide hydrolase (FAAH) at pH 9.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCCOC(=O)CC(=O)CBr,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,"{'bei': '20.86', 'le': '0.53', 'lle': '2.97', 'sei': '13.43'}",CHEMBL155928,,CHEMBL155928,5.82,0,http://www.openphacts.org/units/Nanomolar,306913,=,1,1,=,,IC50,nM,,1500.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,1.5
,,245070,[],CHEMBL683426,Concentration required to inhibit Fatty-acid amide hydrolase (FAAH) at pH 7.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCCOC(=O)CC(=O)CBr,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,"{'bei': '20.34', 'le': '0.52', 'lle': '2.83', 'sei': '13.09'}",CHEMBL155928,,CHEMBL155928,5.68,0,http://www.openphacts.org/units/Nanomolar,306913,=,1,1,=,,IC50,nM,,2100.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,2.1
,,247715,[],CHEMBL683427,Inhibitory concentration against Fatty-acid amide hydrolase (FAAH) at pH 9.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCCC/C=C\CCCCCCCC(=O)CBr,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,"{'bei': '16.69', 'le': '0.39', 'lle': '-0.99', 'sei': '35.15'}",CHEMBL157736,,CHEMBL157736,6.00,0,http://www.openphacts.org/units/Nanomolar,306912,=,1,1,=,,IC50,nM,,1000.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,1.0
,,247717,[],CHEMBL683428,Concentration required to inhibit fatty acid amide hydrolase (FAAH) at pH 7.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCCC/C=C\CCCCCCCC(=O)CBr,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,"{'bei': '14.68', 'le': '0.34', 'lle': '-1.71', 'sei': '30.91'}",CHEMBL157736,,CHEMBL157736,5.28,0,http://www.openphacts.org/units/Nanomolar,306912,=,1,1,=,,IC50,nM,,5300.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,5.3
,,253391,[],CHEMBL683427,Inhibitory concentration against Fatty-acid amide hydrolase (FAAH) at pH 9.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCCC/C=C\CCCCCCCC(=O)C(F)(F)F,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,"{'bei': '18.60', 'le': '0.37', 'lle': '-0.94', 'sei': '36.45'}",CHEMBL422064,,CHEMBL422064,6.22,0,http://www.openphacts.org/units/Nanomolar,306915,=,1,1,=,,IC50,nM,,600.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,0.6
,,253393,[],CHEMBL683428,Concentration required to inhibit fatty acid amide hydrolase (FAAH) at pH 7.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCCC/C=C\CCCCCCCC(=O)C(F)(F)F,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,"{'bei': '14.96', 'le': '0.30', 'lle': '-2.16', 'sei': '29.32'}",CHEMBL422064,,CHEMBL422064,5.00,0,http://www.openphacts.org/units/Nanomolar,306915,=,1,1,=,,IC50,nM,,9900.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,9.9
,,253394,[],CHEMBL683427,Inhibitory concentration against Fatty-acid amide hydrolase (FAAH) at pH 9.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCC[C@@H](C)OC(=O)CC(O)CBr,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,,CHEMBL421995,,CHEMBL421995,,0,http://www.openphacts.org/units/Nanomolar,306916,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,100.0
,,253396,[],CHEMBL683427,Inhibitory concentration against Fatty-acid amide hydrolase (FAAH) at pH 9.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCCCC(=O)CC(C)=O,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,,CHEMBL157196,,CHEMBL157196,,0,http://www.openphacts.org/units/Nanomolar,306917,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,100.0
,,255997,[],CHEMBL683427,Inhibitory concentration against Fatty-acid amide hydrolase (FAAH) at pH 9.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCC[C@@H](C)OC(=O)CC(=O)CC,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,,CHEMBL352250,,CHEMBL352250,,0,http://www.openphacts.org/units/Nanomolar,306919,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,100.0
,,264071,[],CHEMBL683427,Inhibitory concentration against Fatty-acid amide hydrolase (FAAH) at pH 9.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCC[C@@H](C)OC(=O)CC(=O)CBr,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,"{'bei': '19.05', 'le': '0.48', 'lle': '2.35', 'sei': '12.88'}",CHEMBL347894,,CHEMBL347894,5.58,1,http://www.openphacts.org/units/Nanomolar,306910,=,1,1,=,,IC50,nM,,2600.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,2.6
,,264073,[],CHEMBL683426,Concentration required to inhibit Fatty-acid amide hydrolase (FAAH) at pH 7.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCC[C@@H](C)OC(=O)CC(=O)CBr,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,"{'bei': '18.79', 'le': '0.47', 'lle': '2.27', 'sei': '12.70'}",CHEMBL347894,,CHEMBL347894,5.51,0,http://www.openphacts.org/units/Nanomolar,306910,=,1,1,=,,IC50,nM,,3100.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,3.1
,,264075,[],CHEMBL683427,Inhibitory concentration against Fatty-acid amide hydrolase (FAAH) at pH 9.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCC[C@@H](C)OC(=O)CC(=O)CCl,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,"{'bei': '22.26', 'le': '0.47', 'lle': '2.45', 'sei': '12.77'}",CHEMBL345382,,CHEMBL345382,5.54,0,http://www.openphacts.org/units/Nanomolar,306921,=,1,1,=,,IC50,nM,,2900.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,2.9
,,264077,[],CHEMBL683428,Concentration required to inhibit fatty acid amide hydrolase (FAAH) at pH 7.0,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCC[C@@H](C)OC(=O)CC(=O)CCl,,,CHEMBL1131510,Bioorg Med Chem Lett,1998.0,"{'bei': '24.74', 'le': '0.53', 'lle': '3.06', 'sei': '14.19'}",CHEMBL345382,,CHEMBL345382,6.16,0,http://www.openphacts.org/units/Nanomolar,306921,=,1,1,=,,IC50,nM,,700.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,0.7
,,1402683,[],CHEMBL828563,Inhibitory concentration against Fatty-acid amide hydrolase,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCCC/C=C\CCCCCCCC(=O)c1ncco1,,,CHEMBL1142723,J Med Chem,2005.0,"{'bei': '17.09', 'le': '0.32', 'lle': '-1.19', 'sei': '13.22'}",CHEMBL39412,,CHEMBL39412,5.70,0,http://www.openphacts.org/units/Nanomolar,360482,=,1,1,=,,IC50,nM,,2000.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,2.0
,,1402692,[],CHEMBL828563,Inhibitory concentration against Fatty-acid amide hydrolase,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCCC/C=C\CCCCCCCC(=O)c1ncc(-c2ccccn2)o1,,,CHEMBL1142723,J Med Chem,2005.0,"{'bei': '16.62', 'le': '0.31', 'lle': '-1.14', 'sei': '12.19'}",CHEMBL426230,,CHEMBL426230,6.82,0,http://www.openphacts.org/units/Nanomolar,360511,=,1,1,=,,IC50,nM,,150.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,0.15
,,1402878,[],CHEMBL828563,Inhibitory concentration against Fatty-acid amide hydrolase,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCCC/C=C\CCCCCCCC(=O)C(F)(F)F,,,CHEMBL1142723,J Med Chem,2005.0,"{'bei': '15.99', 'le': '0.32', 'lle': '-1.81', 'sei': '31.32'}",CHEMBL422064,,CHEMBL422064,5.35,0,http://www.openphacts.org/units/Nanomolar,360525,=,1,1,=,,IC50,nM,,4500.0,CHEMBL2243,Homo sapiens,Anandamide amidohydrolase,9606,,,IC50,uM,UO_0000065,,4.5
